job_name,company_tag,city,salary_avg_annual_wy,skills,experience,education,main_skill_categories,skills_cleaned,skills_list
数据分析师,餐饮,上海市,18.0,,3-5年,大专,,,['']
数据分析师,其他行业,上海市,22.8,Tableau;Power BI,1-3年,本科,大数据;其他,tableau;power bi,"['tableau', 'power bi']"
数据分析师（上海）,通信/网络设备,上海市,19.8,Python;SQL,3-5年,本科,后端开发;数据库,python;sql,"['python', 'sql']"
数据分析师,移动互联网,上海市,96.0,,5-10年,本科,,,['']
数据分析师,互联网,上海市,19.8,Python;SQL,经验不限,本科,后端开发;数据库,python;sql,"['python', 'sql']"
高级数据分析师,大数据,上海市,26.0,SQL;Power BI;Python,5-10年,不限,数据库;其他;后端开发,sql;power bi;python,"['sql', 'power bi', 'python']"
数据分析师（游戏业务）,互联网,上海市,42.0,游戏数分;SQL,1-3年,本科,其他;数据库,游戏数分;sql,"['游戏数分', 'sql']"
数据分析专员,通用设备,上海市,13.2,Python,3-5年,大专,后端开发,python,['python']
AI数据分析师（可远程）,投资/融资,上海市,64.0,,3-5年,本科,,,['']
数据分析师/专家-用户增长-北京、上海,互联网,上海市,88.0,SQL,5-10年,本科,数据库,sql,['sql']
数据分析,互联网,上海市,76.0,,3-5年,本科,,,['']
数据分析师,游戏,上海市,27.0,,1-3年,本科,,,['']
数据分析师,移动互联网,上海市,162.0,SQL,5-10年,本科,数据库,sql,['sql']
安全数据分析师,信息安全,上海市,13.2,,经验不限,本科,,,['']
数据分析师,计算机软件,上海市,19.8,SQL,3-5年,本科,数据库,sql,['sql']
数据分析师,移动互联网,上海市,33.75,数据分析;数据挖掘;数据仓库;Python;hive;Tableau,1-3年,硕士,大数据;后端开发;数据库,数据分析;数据挖掘;数据仓库;python;hive;tableau,"['数据分析', '数据挖掘', '数据仓库', 'python', 'hive', 'tableau']"
资深数据分析师,互联网,上海市,82.5,SQL;Hive;即时零售;oto/电商,经验不限,本科,数据库;其他,sql;hive;即时零售;oto/电商,"['sql', 'hive', '即时零售', 'oto/电商']"
数据分析师,储能,上海市,12.0,数据分析,3-5年,本科,大数据,数据分析,['数据分析']
贷后数据分析师,互联网金融,上海市,80.0,SQL;Python,5-10年,本科,数据库;后端开发,sql;python,"['sql', 'python']"
数据分析师,电子商务,上海市,10.8,影刀;Python,1-3年,本科,其他;后端开发,影刀;python,"['影刀', 'python']"
数据分析师（平台方向）,O2O,上海市,42.0,,5-10年,本科,,,['']
数据分析师,大数据,上海市,17.4,SQL,3-5年,本科,数据库,sql,['sql']
数据分析师,计算机软件,上海市,16.1,,1-3年,本科,,,['']
数据分析师,银行,上海市,18.2,EXCEL;python;Power BI;fineBI,3-5年,本科,其他;后端开发,excel;python;power bi;finebi,"['excel', 'python', 'power bi', 'finebi']"
数据分析师,互联网,上海市,45.0,SQL;Python,5-10年,本科,数据库;后端开发,sql;python,"['sql', 'python']"
数据分析师,企业服务,上海市,25.9,Tableau;SQL;Python,3-5年,本科,大数据;数据库;后端开发,tableau;sql;python,"['tableau', 'sql', 'python']"
数据分析师,新零售,上海市,12.0,,3-5年,本科,,,['']
数据分析师（薪资面谈）,大数据,上海市,16.25,,1-3年,本科,,,['']
数据分析师(J10248),餐饮,上海市,19.2,,1-3年,本科,,,['']
数据分析专家,O2O,上海市,54.0,,5-10年,本科,,,['']
数据分析师,互联网,上海市,21.0,SQL;效果广告;互联网;项目管理,经验不限,本科,其他;数据库;项目管理/敏捷,sql;效果广告;互联网;项目管理,"['sql', '效果广告', '互联网', '项目管理']"
初级/高级数据分析师,医美服务,上海市,22.8,,3-5年,本科,,,['']
