job_name,company_tag,city,salary_avg_annual_wy,skills,experience,education,main_skill_categories,skills_cleaned,skills_list,skill_single
智能驾驶测试工程师（学信网统本）,计算机软件,杭州市,10.2,车载测试;学信网统本,1-3年,本科,测试;其他,车载测试;学信网统本,学信网统本,学信网统本
3D打印测试工程师,智能硬件,宁波市,7.8,性能测试;渗透测试;功能测试,1-3年,本科,测试,性能测试;渗透测试;功能测试,性能测试,性能测试
3D打印测试工程师,智能硬件,宁波市,7.8,性能测试;渗透测试;功能测试,1-3年,本科,测试,性能测试;渗透测试;功能测试,渗透测试,渗透测试
3D打印测试工程师,智能硬件,宁波市,7.8,性能测试;渗透测试;功能测试,1-3年,本科,测试,性能测试;渗透测试;功能测试,功能测试,功能测试
测试员,金属制品,宁波市,7.15,功能测试;性能测试;掌握软件测试理论和流程,经验不限,大专,测试,功能测试;性能测试;掌握软件测试理论和流程,功能测试,功能测试
测试员,金属制品,宁波市,7.15,功能测试;性能测试;掌握软件测试理论和流程,经验不限,大专,测试,功能测试;性能测试;掌握软件测试理论和流程,性能测试,性能测试
测试员,金属制品,宁波市,7.15,功能测试;性能测试;掌握软件测试理论和流程,经验不限,大专,测试,功能测试;性能测试;掌握软件测试理论和流程,掌握软件测试理论和流程,掌握软件测试理论和流程
测试工程师,计算机软件,杭州市,12.6,功能测试;性能测试,3-5年,本科,测试,功能测试;性能测试,功能测试,功能测试
测试工程师,计算机软件,杭州市,12.6,功能测试;性能测试,3-5年,本科,测试,功能测试;性能测试,性能测试,性能测试
车载信息安全测试工程师,互联网,宁波市,27.0,自动化测试,5-10年,本科,测试,自动化测试,自动化测试,自动化测试
软件测试工程师,医疗器械,宁波市,9.0,性能测试;功能测试,1-3年,大专,测试,性能测试;功能测试,性能测试,性能测试
软件测试工程师,医疗器械,宁波市,9.0,性能测试;功能测试,1-3年,大专,测试,性能测试;功能测试,功能测试,功能测试
软件测试工程师,汽车零部件,杭州市,29.25,软件测试;汽车电子测试,3-5年,本科,测试,软件测试;汽车电子测试,软件测试,软件测试
软件测试工程师,汽车零部件,杭州市,29.25,软件测试;汽车电子测试,3-5年,本科,测试,软件测试;汽车电子测试,汽车电子测试,汽车电子测试
测试工程师,光伏,宁波市,15.0,自动化测试,1-3年,本科,测试,自动化测试,自动化测试,自动化测试
测试工程师,进出口贸易,宁波市,13.2,安全测试;硬件测试;性能测试;功能测试,3-5年,本科,测试,安全测试;硬件测试;性能测试;功能测试,安全测试,安全测试
测试工程师,进出口贸易,宁波市,13.2,安全测试;硬件测试;性能测试;功能测试,3-5年,本科,测试,安全测试;硬件测试;性能测试;功能测试,硬件测试,硬件测试
测试工程师,进出口贸易,宁波市,13.2,安全测试;硬件测试;性能测试;功能测试,3-5年,本科,测试,安全测试;硬件测试;性能测试;功能测试,性能测试,性能测试
测试工程师,进出口贸易,宁波市,13.2,安全测试;硬件测试;性能测试;功能测试,3-5年,本科,测试,安全测试;硬件测试;性能测试;功能测试,功能测试,功能测试
软件测试工程师,计算机软件,宁波市,14.95,测试工程师;软件测试;功能测试,3-5年,本科,测试,测试工程师;软件测试;功能测试,测试工程师,测试工程师
软件测试工程师,计算机软件,宁波市,14.95,测试工程师;软件测试;功能测试,3-5年,本科,测试,测试工程师;软件测试;功能测试,软件测试,软件测试
软件测试工程师,计算机软件,宁波市,14.95,测试工程师;软件测试;功能测试,3-5年,本科,测试,测试工程师;软件测试;功能测试,功能测试,功能测试
电动工具电动工具测试工程师,进出口贸易,宁波市,12.6,Auto CAD;PE工程师;锂电电钻;结构化;直流无刷,3-5年,大专,其他,auto cad;pe工程师;锂电电钻;结构化;直流无刷,auto cad,auto cad
电动工具电动工具测试工程师,进出口贸易,宁波市,12.6,Auto CAD;PE工程师;锂电电钻;结构化;直流无刷,3-5年,大专,其他,auto cad;pe工程师;锂电电钻;结构化;直流无刷,pe工程师,pe工程师
电动工具电动工具测试工程师,进出口贸易,宁波市,12.6,Auto CAD;PE工程师;锂电电钻;结构化;直流无刷,3-5年,大专,其他,auto cad;pe工程师;锂电电钻;结构化;直流无刷,锂电电钻,锂电电钻
电动工具电动工具测试工程师,进出口贸易,宁波市,12.6,Auto CAD;PE工程师;锂电电钻;结构化;直流无刷,3-5年,大专,其他,auto cad;pe工程师;锂电电钻;结构化;直流无刷,结构化,结构化
电动工具电动工具测试工程师,进出口贸易,宁波市,12.6,Auto CAD;PE工程师;锂电电钻;结构化;直流无刷,3-5年,大专,其他,auto cad;pe工程师;锂电电钻;结构化;直流无刷,直流无刷,直流无刷
